date,country,stringency_index
2020-11-02,Germany,62.04
2020-11-03,Germany,62.04
2020-11-04,Germany,62.04
2020-11-05,Germany,62.04
2020-11-06,Germany,62.04
2020-11-07,Germany,62.04
2020-11-08,Germany,62.04
2020-11-09,Germany,62.04
2020-11-10,Germany,64.81
2020-11-11,Germany,64.81
2020-11-12,Germany,64.81
2020-11-13,Germany,64.81
2020-11-14,Germany,64.81
2020-11-15,Germany,64.81
2020-11-16,Germany,64.81
2020-11-17,Germany,64.81
2020-11-18,Germany,64.81
2020-11-19,Germany,64.81
2020-11-20,Germany,64.81
2020-11-21,Germany,64.81
2020-11-22,Germany,64.81
2020-11-23,Germany,64.81
2020-11-24,Germany,64.81
2020-11-25,Germany,64.81
2020-11-26,Germany,64.81
2020-11-27,Germany,64.81
2020-11-28,Germany,64.81
2020-11-29,Germany,64.81
2020-11-30,Germany,67.59
2020-12-01,Germany,67.59
2020-12-02,Germany,67.59
2020-12-03,Germany,67.59
2020-12-04,Germany,67.59
2020-12-05,Germany,67.59
2020-12-06,Germany,67.59
2020-12-07,Germany,67.59
2020-12-08,Germany,67.59
2020-12-09,Germany,67.59
2020-12-10,Germany,67.59
2020-12-11,Germany,67.59
2020-12-12,Germany,67.59
2020-12-13,Germany,67.59
2020-12-14,Germany,67.59
2020-12-15,Germany,67.59
2020-12-16,Germany,82.41
2020-12-17,Germany,82.41
2020-12-18,Germany,82.41
2020-12-19,Germany,82.41
2020-12-20,Germany,82.41
2020-12-21,Germany,82.41
2020-12-22,Germany,82.41
2020-12-23,Germany,82.41
2020-12-24,Germany,82.41
2020-12-25,Germany,82.41
2020-12-26,Germany,82.41
2020-12-27,Germany,82.41
2020-12-28,Germany,82.41
2020-12-29,Germany,82.41
2020-12-30,Germany,82.41
2020-12-31,Germany,82.41
2021-01-01,Germany,82.41
2021-01-02,Germany,82.41
2021-01-03,Germany,82.41
2021-01-04,Germany,82.41
2021-01-05,Germany,85.19
2021-01-06,Germany,85.19
2021-01-07,Germany,85.19
2021-01-08,Germany,85.19
2021-01-09,Germany,85.19
2021-01-10,Germany,83.33
2021-01-11,Germany,83.33
2021-01-12,Germany,83.33
2021-01-13,Germany,83.33
2021-01-14,Germany,83.33
2021-01-15,Germany,83.33
2021-01-16,Germany,83.33
2021-01-17,Germany,83.33
2021-01-18,Germany,83.33
2021-01-19,Germany,83.33
2021-01-20,Germany,83.33
2021-01-21,Germany,83.33
2021-01-22,Germany,83.33
2021-01-23,Germany,83.33
2021-01-24,Germany,83.33
2021-01-25,Germany,83.33
2021-01-26,Germany,83.33
2021-01-27,Germany,83.33
2021-01-28,Germany,83.33
2021-01-29,Germany,83.33
2021-01-30,Germany,83.33
2021-01-31,Germany,83.33
2021-02-01,Germany,83.33
2021-02-02,Germany,83.33
2021-02-03,Germany,83.33
2021-02-04,Germany,83.33
2021-02-05,Germany,83.33
2021-02-06,Germany,83.33
2021-02-07,Germany,83.33
2021-02-08,Germany,83.33
2021-02-09,Germany,83.33
2021-02-10,Germany,83.33
2021-02-11,Germany,83.33
2021-02-12,Germany,83.33
2021-02-13,Germany,83.33
2021-02-14,Germany,83.33
2021-02-15,Germany,83.33
2021-02-16,Germany,83.33
2021-02-17,Germany,83.33
2021-02-18,Germany,83.33
2021-02-19,Germany,83.33
2021-02-20,Germany,83.33
2021-02-21,Germany,83.33
2021-02-22,Germany,81.48
2021-02-23,Germany,81.48
2021-02-24,Germany,81.48
2021-02-25,Germany,81.48
2021-02-26,Germany,81.48
2021-02-27,Germany,81.48
2021-02-28,Germany,81.48
2021-03-01,Germany,77.78
2021-03-02,Germany,77.78
2021-03-03,Germany,77.78
2021-03-04,Germany,77.78
2021-03-05,Germany,77.78
2021-03-06,Germany,77.78
2021-03-07,Germany,77.78
2021-03-08,Germany,77.78
2021-03-09,Germany,77.78
2021-03-10,Germany,77.78
2021-03-11,Germany,77.78
2021-03-12,Germany,77.78
2021-03-13,Germany,77.78
2021-03-14,Germany,77.78
2021-03-15,Germany,77.78
2021-03-16,Germany,77.78
2021-03-17,Germany,77.78
2021-03-18,Germany,77.78
2021-03-19,Germany,77.78
2021-03-20,Germany,75.0
2021-03-21,Germany,75.0
2021-03-22,Germany,75.0
2021-03-23,Germany,75.0
2021-03-24,Germany,75.0
2021-03-25,Germany,75.0
2021-03-26,Germany,75.0
2021-03-27,Germany,75.0
2021-03-28,Germany,75.0
2021-03-29,Germany,75.0
2021-03-30,Germany,75.0
2021-03-31,Germany,75.0
2021-04-01,Germany,75.0
2021-04-02,Germany,75.0
2021-04-03,Germany,75.0
2021-04-04,Germany,75.0
2021-04-05,Germany,75.0
2021-04-06,Germany,75.0
2021-04-07,Germany,75.0
2021-04-08,Germany,75.0
2021-04-09,Germany,75.0
2021-04-10,Germany,75.0
2021-04-11,Germany,75.0
2021-04-12,Germany,75.0
2021-04-13,Germany,75.0
2021-04-14,Germany,75.0
